uuid,set,video,pedestrian_id,start_frame,end_frame,split
bc53db5c-6057-42ab-b1b7-376bb58de9a3,gp_set_0002,gp_set_0002_vid_0002.MP4,gp_5024,8570,8584,train
fa04c6a5-3b2d-4cc3-ae47-54ec9ef37c29,gp_set_0006,gp_set_0006_vid_0002.MP4,gp_4231,4220,4234,train
c2ec625c-4f0e-48ed-baa8-f82fcfc3222e,gp_set_0005,gp_set_0005_vid_0005.MP4,gp_5763,6066,6080,test
71205838-3f50-442f-b4a1-5a20f5a0c066,gp_set_0005,gp_set_0005_vid_0001.MP4,gp_1672,16914,16928,test
ae899e8f-8f8e-48d7-b253-b09423130ea1,gp_set_0003,gp_set_0003_vid_0004.MP4,gp_3606,20868,20882,test
495a1109-655b-4fae-8fff-63135c9612e3,gp_set_0005,gp_set_0005_vid_0001.MP4,gp_1306,1306,1320,test
775f9cb6-a616-4192-b142-6e8e4886196a,gp_set_0001,gp_set_0001_vid_0008.MP4,gp_1185,12249,12263,train
9e1a753c-e144-4d3a-8d14-3ad4bd8a6495,gp_set_0004,gp_set_0004_vid_0003.MP4,gp_2857,8368,8382,train
69029f27-5da8-47db-98c9-cbb4503f8916,gp_set_0001,gp_set_0001_vid_0005.MP4,gp_637,13620,13634,train
ee7f9167-8542-48ed-a3ce-196c65192cd2,gp_set_0009,gp_set_0009_vid_0001.MP4,gp_6920,789,803,test
711d69b0-90fb-4c03-a0c4-11e3bb92c6ee,gp_set_0001,gp_set_0001_vid_0008.MP4,gp_1037,8476,8490,train
3291ab09-58f8-4f3c-898b-df595b83233d,gp_set_0004,gp_set_0004_vid_0003.MP4,gp_2598,5438,5452,train
62b147ea-b30a-4d87-a340-e4a53196d3c7,gp_set_0003,gp_set_0003_vid_0004.MP4,gp_2778,5309,5323,test
9a68bfc8-00ea-4cd5-97fd-2f1e64c5960e,gp_set_0002,gp_set_0002_vid_0004.MP4,gp_4174,12968,12982,train
b25b6f24-6d71-4947-b468-72aee40f7c60,gp_set_0002,gp_set_0002_vid_0002.MP4,gp_4969,7234,7248,train
4bd37940-af1e-400b-bb42-8d82b55ba5e0,gp_set_0003,gp_set_0003_vid_0002.MP4,gp_2504,12736,12750,test
445a1069-f5f9-4356-bf7c-62d39c5cab20,gp_set_0001,gp_set_0001_vid_0005.MP4,gp_1331,20654,20668,train
a71e67c9-5c99-4df0-9be4-b0c680da7615,gp_set_0002,gp_set_0002_vid_0001.MP4,gp_4358,10757,10771,train
9554a322-f89c-47d9-ba33-59dbefd0e945,gp_set_0001,gp_set_0001_vid_0005.MP4,gp_936,20556,20570,train
6b612aba-2031-4a4a-98e1-c32d564e7767,gp_set_0003,gp_set_0003_vid_0004.MP4,gp_3598,20868,20882,test
