uuid,set,video,pedestrian_id,start_frame,end_frame,split
ebe95068-7b30-45b9-92e2-b8465b5fc282,,video_0244.mp4,0_244_1882b,21,35,test
6d491bfc-4d29-4922-b5ef-bcef1551d701,,video_0216.mp4,0_216_1589b,78,92,test
80d7fa77-e220-4522-b0af-eca916b15b18,,video_0165.mp4,0_165_1140b,102,116,test
86f9054c-7612-4373-89f0-a946d3003f03,,video_0084.mp4,0_84_455b,23,37,test
1a3afec4-ed91-48d0-9415-a515bc190da8,,video_0090.mp4,0_90_497b,57,71,test
352ecefb-3a23-4708-aa07-dfb261f5e9ae,,video_0083.mp4,0_83_447b,61,75,train
c2a9ba98-8b73-49ee-bd6a-75f94da2f7c6,,video_0262.mp4,0_262_2025b,52,66,train
2344df4b-b2d0-4943-b221-3ffaf8ac18c7,,video_0313.mp4,0_313_2452b,375,389,test
78712b68-f217-480f-9c83-4fad8dbd1603,,video_0310.mp4,0_310_2424b,29,43,train
f29be5e7-d9c1-4884-b82b-42f46c0ba13b,,video_0132.mp4,0_132_786b,83,97,train
e9aee496-5228-456a-b79d-2635a64c8697,,video_0057.mp4,0_57_257b,41,54,train
e509b5ae-e1e0-47a7-985a-d7eca1d53c3a,,video_0087.mp4,0_87_477b,80,94,test
75f077fc-954b-4d84-bec4-b774f7cc9d02,,video_0188.mp4,0_188_1349b,105,119,train
6a48799d-31a0-4578-959a-9f856b2c3fb4,,video_0334.mp4,0_334_2617b,4,18,test
dd04d720-4693-488e-aa84-359d093ef790,,video_0117.mp4,0_117_679b,468,482,test
056a3179-7988-4a82-ba9b-87b305e67446,,video_0134.mp4,0_134_793b,210,224,train
0daaee23-65c7-4cbb-9ed1-a157beb18490,,video_0135.mp4,0_135_817b,133,147,test
91270537-7ec0-4cb6-a594-973266d5e12d,,video_0224.mp4,0_224_1683b,108,122,test
09895213-bcfc-4c02-9ad7-43c6fe427387,,video_0265.mp4,0_265_2066b,15,29,test
c8a30e3c-7472-4f44-a3d2-86b5cee52579,,video_0152.mp4,0_152_1019b,83,97,test
ab43e214-afee-4158-9d7a-d9b4e81355a8,,video_0232.mp4,0_232_1771b,44,58,train
37e57deb-b23b-466b-95b9-569acb8b7521,,video_0319.mp4,0_319_2510b,38,52,train
5033f4fc-20d3-491b-9937-cf03fd64f52c,,video_0108.mp4,0_108_595b,48,62,train
8c74e6c1-f53b-4add-8f7a-25f008ea191a,,video_0049.mp4,0_49_219b,100,113,train
4f4eb190-40c1-4953-a483-37fdea3db90a,,video_0135.mp4,0_135_805b,110,124,test
de66df68-30d0-4e83-af47-4588e762dc7c,,video_0076.mp4,0_76_403b,62,76,test
7adea195-d7f9-4ff7-a767-61820bc7133e,,video_0086.mp4,0_86_461b,42,56,train
b1f5acdc-da62-442a-add8-727d62a4c823,,video_0332.mp4,0_332_2607b,83,97,test
8cdef085-d527-4a86-aab4-ba47ecc49bf3,,video_0242.mp4,0_242_1869b,49,63,train
982a240e-11ca-49fd-9e42-9bfab26f8064,,video_0305.mp4,0_305_2375b,70,84,test
6033587f-882e-4e1d-b50f-7318cfdbe037,,video_0135.mp4,0_135_828b,109,123,test
15fd5685-1921-4544-bbc0-fb96110a39b1,,video_0254.mp4,0_254_1975b,43,57,train
09cb8bd1-ea72-4afd-b51b-f55b2fea82f6,,video_0295.mp4,0_295_2291b,246,260,test
a6bd5f3b-0c4b-42af-b3c9-e7e354c84665,,video_0143.mp4,0_143_881b,36,50,train
6d2a419d-a789-450c-8d2f-9d7f7680971e,,video_0242.mp4,0_242_1866b,77,91,train
658e3a07-1105-4d70-8e82-e915ccdc688f,,video_0276.mp4,0_276_2177b,126,140,train
8daaf082-3c37-4787-9614-a4172f0f8015,,video_0342.mp4,0_342_2685b,68,82,train
a64ed73a-5647-47b0-a6cd-1f91ec645e13,,video_0234.mp4,0_234_1797b,50,64,test
8c727e65-b895-42ed-a97c-485e6c7341f1,,video_0106.mp4,0_106_585b,89,103,test
96dac032-8fc2-457f-a0d6-51319f1f2087,,video_0231.mp4,0_231_1760b,19,33,train
7402f2da-f1ad-4de0-9e62-7bee07ca435e,,video_0277.mp4,0_277_2185b,198,212,test
971b1c9d-9acd-41f8-a80e-6b47d95fbfb5,,video_0085.mp4,0_85_460b,125,139,train
2d51ab08-1b1c-4cbc-a7a7-e7238f21b28a,,video_0011.mp4,0_11_56b,30,43,train
e138862d-8dea-4475-8af1-d0a83300f633,,video_0308.mp4,0_308_2398b,79,93,test
c42afad2-9163-438b-a4c4-9a7f27fba4d4,,video_0124.mp4,0_124_742b,108,122,test
bebda745-2eda-49b5-8b68-438bc5fbd237,,video_0091.mp4,0_91_502b,36,49,train
d1984dbd-081e-4c65-9311-b996c65f793a,,video_0119.mp4,0_119_695b,59,73,train
fddbb236-753d-426a-890f-38be666e4cf9,,video_0147.mp4,0_147_950b,8,22,train
082e5b86-da6f-4a3d-9f00-9483efee03f6,,video_0194.mp4,0_194_1429b,57,71,train
119ae08d-ec58-44ed-b5be-8170afa9a917,,video_0173.mp4,0_173_1211b,43,57,test
63b9648f-d550-4b12-9ccd-e32563f98b8b,,video_0105.mp4,0_105_580b,66,80,test
099b4e67-2b13-4d1b-8b21-ee15aa3b191f,,video_0242.mp4,0_242_1864b,65,79,train
927b8948-c864-446c-9f27-0db6004018ef,,video_0161.mp4,0_161_1091b,25,39,train
02755f28-3921-4182-b4eb-d72155b9a55e,,video_0219.mp4,0_219_1612b,67,81,train
d7688f2b-10c8-400b-9c93-0d1cdabac439,,video_0120.mp4,0_120_701b,43,57,train
53206726-da2f-49fd-81ad-51c6c97e4b98,,video_0277.mp4,0_277_2180b,109,123,test
4a4afbef-24c7-439c-b0df-898654aa1ae9,,video_0145.mp4,0_145_930b,70,84,train
559990f6-8149-4bfc-9db3-033f80fcd200,,video_0290.mp4,0_290_2244b,56,70,train
04e0f9f2-e610-4420-a016-3a1dc0dda440,,video_0324.mp4,0_324_2562b,121,135,train
183daddf-be1a-4977-a27f-4b59c1464354,,video_0080.mp4,0_80_428b,28,42,train
d7bfc27e-4a48-4c9b-94c7-1f5ca7a1b46e,,video_0223.mp4,0_223_1666b,243,257,test
59fc8104-0d85-4b53-a6fb-c63cc4d288c5,,video_0190.mp4,0_190_1371b,88,102,train
a448f27b-11ad-4090-aa5e-5845f5b1b5d9,,video_0126.mp4,0_126_750b,44,58,train
bfbd814a-035b-431e-abaa-0fd828515822,,video_0234.mp4,0_234_1804b,106,120,test
de885891-c355-428c-9f97-8c5f4b194041,,video_0266.mp4,0_266_2079b,83,97,train
