uuid,set,video,pedestrian_id,start_frame,end_frame,split
323c5431-b98e-4d5a-bd8a-22f6af2618cd,set03,video_0016.mp4,3_16_911,12915,12929,test
46404a24-78a8-445e-bd28-6099b6fa4266,set04,video_0006.mp4,4_6_1246,6122,6136,train
c8a2310f-700b-4ce9-b426-b24adf6cdc86,set04,video_0001.mp4,4_1_1030,14792,14806,train
239c8210-aca9-41ea-b586-9ab6dae6d45c,set03,video_0002.mp4,3_2_304,12599,12613,test
ea13f064-a8b3-44ee-ae74-314b55a8d85a,set03,video_0009.mp4,3_9_592,3038,3052,test
2ef736a1-4142-477d-ba47-f4db29426381,set04,video_0009.mp4,4_9_1413,4894,4908,train
e58f7926-21f8-4fa0-91ce-116fdbec225c,set04,video_0006.mp4,4_6_1283,17747,17761,train
dbd91e34-aee3-467c-92ca-f3eeab8e710f,set01,video_0003.mp4,1_3_79,11422,11436,train
59f30f57-5981-4076-ad26-ccb2a00d9b33,set04,video_0013.mp4,4_13_1656,17681,17695,train
98fc56e5-6724-4859-aac0-b20c6ac62250,set04,video_0008.mp4,4_8_1383,6154,6168,train
faa60d28-b080-4666-9de7-0273d3aae812,set04,video_0010.mp4,4_10_1484,2716,2730,train
d78c12e4-861c-4c7d-8939-aa09d66e69d2,set04,video_0008.mp4,4_8_1394,10183,10197,train
5e84b363-720b-4e75-b12a-fbaac7ef86dc,set04,video_0009.mp4,4_9_1464,14558,14572,train
bef87b42-d3b7-4e2a-96c4-cded39c3d2e2,set04,video_0005.mp4,4_5_1210,9497,9511,train
b056a3c7-f62b-4e45-9d65-ff2aca8b5311,set04,video_0007.mp4,4_7_1302,3903,3917,train
4ef0c466-51b8-4150-be4b-c799fdc323a9,set03,video_0004.mp4,3_4_381,15706,15720,test
a9a7442c-705e-4612-870d-62b7408b0d0d,set04,video_0008.mp4,4_8_1404,14321,14335,train
0d8f233e-b36e-4915-bf8f-76332633152e,set04,video_0003.mp4,4_3_1126,1530,1544,train
445bef2f-3bc4-498e-9375-1097215bebb9,set04,video_0012.mp4,4_12_1599,12996,13010,train
ad5a33ba-894c-4095-aaf2-89087d3056b8,set03,video_0005.mp4,3_5_420,13181,13195,test
3321c258-7239-4d0c-b42a-f1f822f99dcb,set02,video_0002.mp4,2_2_152,5731,5745,train
00e1c70a-cda1-4f40-8c9a-06e6ba1858c6,set03,video_0014.mp4,3_14_816,404,418,test
a3aed183-edf7-444e-b819-1d254d18f9de,set04,video_0008.mp4,4_8_1403,12423,12437,train
8bb684d2-3ed0-46b3-92ab-7765160b684f,set03,video_0009.mp4,3_9_622,14009,14023,test
207dcecc-9446-456f-b8ac-82318882e0c7,set04,video_0016.mp4,4_16_1711,383,397,train
97665595-d99a-4997-9c3a-177880f15c10,set03,video_0003.mp4,3_3_340,20123,20137,test
e481ce1f-aebe-4a21-8d15-fa1230559abc,set03,video_0016.mp4,3_16_906,9664,9678,test
9b711a8f-c122-4c6e-becb-44300a463dde,set04,video_0009.mp4,4_9_1417,4894,4908,train
a00e58e0-7447-45ed-a90f-3065b5e2ddef,set03,video_0011.mp4,3_11_711,14487,14501,test
1e282fed-674d-4045-b187-32c78bbc5d2f,set04,video_0009.mp4,4_9_1454,10247,10261,train
ce704348-e6b4-4062-977a-72ae127dde0d,set03,video_0004.mp4,3_4_361,12013,12027,test
acabe340-90ae-434a-8008-3cee89c65edf,set04,video_0007.mp4,4_7_1330,10531,10545,train
34d609c3-885e-4ff8-8c7a-e0d931b2f90d,set04,video_0007.mp4,4_7_1352,13168,13182,train
efa6d341-1230-4afe-af5e-47058bd577cd,set04,video_0009.mp4,4_9_1428,6746,6760,train
8e300400-629b-43f8-9ad8-cb8bf8522023,set01,video_0003.mp4,1_3_85,13084,13098,train
6005b540-b294-42dd-8184-b919d5888f4c,set03,video_0005.mp4,3_5_384,1607,1621,test
504f5330-f8bf-48ac-8df7-b87b37f92f31,set04,video_0007.mp4,4_7_1336,11562,11576,train
02c0c160-377c-4b75-9e64-27550bc7e65a,set01,video_0003.mp4,1_3_72,9871,9885,train
392c5454-629c-4de8-8637-8fce8aa2be84,set03,video_0015.mp4,3_15_843,4063,4077,test
4949f726-f42d-49fa-85eb-f010c5fbb4c4,set04,video_0015.mp4,4_15_1700,9563,9577,train
b50ce85e-b7a2-4fc4-bd2a-cd4514a9148d,set01,video_0003.mp4,1_3_86,13768,13782,train
33e7620b-afcb-4629-8ca7-36b4c926c199,set04,video_0010.mp4,4_10_1494,5808,5822,train
14f0f8fc-b039-41a3-8667-e6e2b38a1eb7,set04,video_0015.mp4,4_15_1679,3604,3618,train
19c3a558-07a5-433c-9770-b124bed718c3,set03,video_0009.mp4,3_9_617,11157,11171,test
286218dd-6115-4e0b-b34f-7a3403ae5921,set01,video_0003.mp4,1_3_69,4715,4729,train
815b27d0-3756-4b0f-b264-81d2152d5e20,set03,video_0005.mp4,3_5_393,2735,2749,test
53229390-6c7e-466c-8db8-a234436fff5b,set04,video_0007.mp4,4_7_1324,6805,6819,train
d0ad12ad-62ca-425a-9ed4-0daa18caa22f,set04,video_0004.mp4,4_4_1192,6381,6395,train
a1fb91d6-f421-495a-b0eb-80f59e20f366,set04,video_0013.mp4,4_13_1636,1755,1769,train
1ca1c554-5594-41aa-b1f7-841227eb395a,set03,video_0013.mp4,3_13_809,4616,4630,test
95ecf016-dabf-4981-bf35-3f63206c25e8,set04,video_0012.mp4,4_12_1605,16578,16592,train
899e39d2-b2f1-4aa9-874e-36aa6a672fe8,set01,video_0002.mp4,1_2_32,7701,7715,train
46b977d0-26e1-42b0-9cc2-143d003156eb,set04,video_0001.mp4,4_1_1032,14806,14820,train
0eb10611-a8e3-4fb3-97c9-6c3684c456f6,set03,video_0003.mp4,3_3_339,20081,20095,test
a5e0c3e5-ede0-4665-a0b8-c4d0732a8363,set01,video_0003.mp4,1_3_65,3634,3648,train
baa9706f-dfe4-42df-9318-c05407e20157,set03,video_0007.mp4,3_7_518,15162,15176,test
0f5ad698-8fcb-4220-bbb5-b5255225120e,set01,video_0002.mp4,1_2_42,12274,12288,train
98568c7c-2349-4fb5-add6-3f0dd2d4f4af,set04,video_0009.mp4,4_9_1427,6446,6460,train
4472e276-eec2-4026-93b1-92b1f5c20709,set04,video_0007.mp4,4_7_1345,12184,12198,train
d1b6ae3a-2897-419f-ae39-4bb74ce7936e,set03,video_0010.mp4,3_10_651,4240,4254,test
216b0c84-49d7-400e-bedb-387f92b277dc,set04,video_0011.mp4,4_11_1536,13847,13861,train
58388728-bc77-4f9d-87c3-decc2add49b9,set03,video_0019.mp4,3_19_996,7892,7906,test
b1bfd951-ee7a-4c32-8a45-2686d4ee5526,set03,video_0003.mp4,3_3_327,17567,17581,test
5e11ea69-dd77-4be7-9fd0-1990add84f99,set03,video_0012.mp4,3_12_744,6826,6840,test
ea7ac645-e109-43aa-b178-474dbc0d9df9,set03,video_0002.mp4,3_2_303,11899,11913,test
dbf63004-1efe-49a9-8489-c82343b93cae,set03,video_0005.mp4,3_5_413,10861,10875,test
d1b41565-63db-497b-8e1d-f58fff857a0c,set02,video_0002.mp4,2_2_183,2834,2848,train
9fee440a-50cf-44cd-ac73-140d5d595a82,set01,video_0002.mp4,1_2_44,12259,12273,train
71d4010d-84a8-4045-9d27-627ddf5d32e5,set03,video_0008.mp4,3_8_538,8326,8340,test
da8f1aaf-cdb7-4242-99b8-a5be02790c73,set04,video_0007.mp4,4_7_1300,3686,3700,train
53736ede-c88a-4bef-935e-d1059919aa91,set04,video_0004.mp4,4_4_1193,8294,8308,train
3ba7d551-8554-4f97-9f7a-5872cfe8f6b3,set02,video_0002.mp4,2_2_150,5296,5310,train
c92e700b-757a-491d-a184-a18abca93112,set03,video_0012.mp4,3_12_750,7433,7447,test
69c028b3-cf07-42ce-9286-8ceb93e0c40e,set04,video_0006.mp4,4_6_1235,3067,3081,train
db487c14-a07a-435a-94a9-7232751041b3,set03,video_0015.mp4,3_15_833,3323,3337,test
aa797fdf-15aa-4e01-a994-d10531736007,set04,video_0002.mp4,4_2_1094,12795,12809,train
6171338e-7386-4a32-af9a-58bb50f36388,set04,video_0002.mp4,4_2_1055,2584,2598,train
9e342db3-6b47-44b0-856c-4fa810a47d1e,set04,video_0009.mp4,4_9_1468,15431,15445,train
7ca3fac2-be75-4952-b409-f1fdd00b10ea,set03,video_0016.mp4,3_16_936,3261,3275,test
b5d406bd-550e-4730-b562-995defae7458,set03,video_0006.mp4,3_6_437,6816,6830,test
991c3dab-0364-41ae-b39c-b0fb448827fb,set04,video_0008.mp4,4_8_1395,10235,10249,train
0743b6f0-5508-43a7-8b91-3b81630b7347,set02,video_0002.mp4,2_2_193,4400,4414,train
